CountyState,CountyLatLong,CountyName,State,Lat,Long
"ABBEVILLE County ,SC","ABBEVILLE County ,SC,34.189122,-82.475276",ABBEVILLE County ,SC,34.189122,-82.475276
"ACADIA County ,LA","ACADIA County ,LA,30.229735,-92.381362",ACADIA County ,LA,30.229735,-92.381362
"ACCOMACK County ,VA","ACCOMACK County ,VA,37.706332,-75.806908",ACCOMACK County ,VA,37.706332,-75.806908
"ADA County ,ID","ADA County ,ID,43.478767,-116.24203",ADA County ,ID,43.478767,-116.24203
"ADAIR County ,IA","ADAIR County ,IA,41.274173,-94.479976",ADAIR County ,IA,41.274173,-94.479976
"ADAIR County ,KY","ADAIR County ,KY,37.076403,-85.313622",ADAIR County ,KY,37.076403,-85.313622
"ADAIR County ,MO","ADAIR County ,MO,40.199366,-92.539603",ADAIR County ,MO,40.199366,-92.539603
"ADAIR County ,OK","ADAIR County ,OK,35.912731,-94.645035",ADAIR County ,OK,35.912731,-94.645035
"ADAMS County ,CO","ADAMS County ,CO,39.839827,-104.193092",ADAMS County ,CO,39.839827,-104.193092
"ADAMS County ,IA","ADAMS County ,IA,41.065207,-94.686378",ADAMS County ,IA,41.065207,-94.686378
"ADAMS County ,ID","ADAMS County ,ID,44.988256,-116.491609",ADAMS County ,ID,44.988256,-116.491609
"ADAMS County ,IL","ADAMS County ,IL,40.057769,-91.135302",ADAMS County ,IL,40.057769,-91.135302
"ADAMS County ,IN","ADAMS County ,IN,40.724924,-84.898478",ADAMS County ,IN,40.724924,-84.898478
"ADAMS County ,MS","ADAMS County ,MS,31.530535,-91.289104",ADAMS County ,MS,31.530535,-91.289104
"ADAMS County ,ND","ADAMS County ,ND,46.059459,-102.51791",ADAMS County ,ND,46.059459,-102.51791
"ADAMS County ,NE","ADAMS County ,NE,40.559623,-98.572102",ADAMS County ,NE,40.559623,-98.572102
"ADAMS County ,OH","ADAMS County ,OH,38.838323,-83.480664",ADAMS County ,OH,38.838323,-83.480664
"ADAMS County ,PA","ADAMS County ,PA,39.852242,-77.286488",ADAMS County ,PA,39.852242,-77.286488
"ADAMS County ,WA","ADAMS County ,WA,46.927224,-118.51098",ADAMS County ,WA,46.927224,-118.51098
"ADAMS County ,WI","ADAMS County ,WI,44.019696,-89.775534",ADAMS County ,WI,44.019696,-89.775534
"ADDISON County ,VT","ADDISON County ,VT,44.119729,-73.164338",ADDISON County ,VT,44.119729,-73.164338
"AIKEN County ,SC","AIKEN County ,SC,33.600578,-81.603506",AIKEN County ,SC,33.600578,-81.603506
"AITKIN County ,MN","AITKIN County ,MN,46.618543,-93.453669",AITKIN County ,MN,46.618543,-93.453669
"ALACHUA County ,FL","ALACHUA County ,FL,29.657955,-82.301773",ALACHUA County ,FL,29.657955,-82.301773
"ALAMANCE County ,NC","ALAMANCE County ,NC,36.011739,-79.425378",ALAMANCE County ,NC,36.011739,-79.425378
"ALAMEDA County ,CA","ALAMEDA County ,CA,37.601689,-121.719546",ALAMEDA County ,CA,37.601689,-121.719546
"ALAMOSA County ,CO","ALAMOSA County ,CO,37.654039,-105.876004",ALAMOSA County ,CO,37.654039,-105.876004
"ALBANY County ,NY","ALBANY County ,NY,42.57568,-73.935982",ALBANY County ,NY,42.57568,-73.935982
"ALBANY County ,WY","ALBANY County ,WY,41.638448,-105.594339",ALBANY County ,WY,41.638448,-105.594339
"ALBEMARLE County ,VA","ALBEMARLE County ,VA,38.056709,-78.6115",ALBEMARLE County ,VA,38.056709,-78.6115
"ALCONA County ,MI","ALCONA County ,MI,44.672794,-83.60224",ALCONA County ,MI,44.672794,-83.60224
"ALCORN County ,MS","ALCORN County ,MS,34.898468,-88.595175",ALCORN County ,MS,34.898468,-88.595175
"ALEXANDER County ,IL","ALEXANDER County ,IL,37.167016,-89.36063",ALEXANDER County ,IL,37.167016,-89.36063
"ALEXANDER County ,NC","ALEXANDER County ,NC,35.89742,-81.207816",ALEXANDER County ,NC,35.89742,-81.207816
"ALEXANDRIA CITY County ,VA","ALEXANDRIA CITY County ,VA,38.804836,-77.046921",ALEXANDRIA CITY County ,VA,38.804836,-77.046921
"ALFALFA County ,OK","ALFALFA County ,OK,36.743592,-98.396494",ALFALFA County ,OK,36.743592,-98.396494
"ALGER County ,MI","ALGER County ,MI,46.424618,-86.490452",ALGER County ,MI,46.424618,-86.490452
"ALLAMAKEE County ,IA","ALLAMAKEE County ,IA,43.243075,-91.443469",ALLAMAKEE County ,IA,43.243075,-91.443469
"ALLEGAN County ,MI","ALLEGAN County ,MI,42.593874,-85.908443",ALLEGAN County ,MI,42.593874,-85.908443
"ALLEGANY County ,MD","ALLEGANY County ,MD,39.625525,-78.6115",ALLEGANY County ,MD,39.625525,-78.6115
"ALLEGANY County ,NY","ALLEGANY County ,NY,42.312982,-78.019539",ALLEGANY County ,NY,42.312982,-78.019539
